title,list,description,group,priority,labels
001. Foundation — Audit,Metódusok,"Jelenlegi stack, route-ok, mappák és halott függőségek dokumentálása.

Elfogadási kritérium: Van naprakész architektúra-összefoglaló (ARCHITECTURE.md).",Foundation,P0,refactor
002. Foundation — Architektúra döntések,Metódusok,"Firebase marad; src/-ba konszolidálás; #/ alias; auth guard; TeamCard showcase izolálás.

Elfogadási kritérium: Minden döntés ADR formában rögzítve.",Foundation,P0,refactor
003. Foundation — Halott kód takarítás,Metódusok,"Drizzle/Supabase/pg eltávolítása; / redirect; README frissítés.

Elfogadási kritérium: npm run build és npm run lint hibamentes.",Foundation,P0,tech-debt
004. Foundation — Mappa struktúra,Metódusok,"hooks/, services/, store/, types/ áthelyezése src/ alá.

Elfogadási kritérium: Nincs domain fájl a gyökérben.",Foundation,P0,refactor
005. Foundation — Import alias,Metódusok,"Csak #/ alias; relatív importok minimalizálása.

Elfogadási kritérium: Egységes import konvenció az egész projektben.",Foundation,P0,refactor
006. Foundation — Firebase env,Metódusok,"Hardcoded config → import.meta.env + .env.example.

Elfogadási kritérium: Nincs API key a forráskódban.",Foundation,P0,refactor
007. Foundation — Auth guard,Metódusok,"(protected) layout beforeLoad redirect nem autentikált usereknek.

Elfogadási kritérium: Kijelentkezve nem érhető el védett oldal.",Foundation,P0,feature
008. Foundation — Query key konvenció,Metódusok,"Egységes React Query kulcsok (pl. [""clubs"", id]).

Elfogadási kritérium: Minden hook követi az új konvenciót.",Foundation,P1,refactor
009. Foundation — Dialog state,Metódusok,"Globális dialog mount egy helyen; duplikáció törlése (ClubsLayout vs clubs.tsx).

Elfogadási kritérium: Minden dialog pontosan egyszer mountolódik.",Foundation,P1,refactor
010. Foundation — App entry,UI,"/ → /match redirect; stub oldalak kezelése.

Elfogadási kritérium: App induláskor a megfelelő helyre visz.",Foundation,P1,feature
011. Foundation — Teljes alap teszt,Integrációs teszt,"Build + lint + auth guard + redirect + env config + mappa struktúra ellenőrzése.

Elfogadási kritérium: Kijelentkezve redirect /sign-in; bejelentkezve /match; build zöld; nincs halott import.",Foundation,P0,refactor
012. Auth — Sign In,Metódusok,"Email/jelszó és Google bejelentkezés (user-service, useUser).

Elfogadási kritérium: Mindkét módszer user doc-ot hoz létre vagy betölt.",Auth,P0,feature
013. Auth — Sign Up,Metódusok,"Regisztráció validációval.

Elfogadási kritérium: Sikeres regisztráció után bejelentkezett állapot.",Auth,P0,feature
014. Auth — Sign Out,Metódusok,"Kijelentkezés minden helyről.

Elfogadási kritérium: Sign out után auth state null és redirect.",Auth,P0,feature
015. Auth — Forgot Password,Metódusok,"Jelszó reset email küldés.

Elfogadási kritérium: Success/error üzenet megjelenik.",Auth,P1,feature
016. Auth — User CRUD,Metódusok,"getOrCreateUserData; user profil lekérés.

Elfogadási kritérium: Első login létrehozza a Firestore user doc-ot.",Auth,P0,feature
017. Auth — Sign In oldal,UI,"Email + Google form; hibakezelés; redirect param.

Elfogadási kritérium: Hibás loginnál üzenet; sikeresnél redirect.",Auth,P0,feature
018. Auth — Sign Up oldal,UI,"Regisztrációs form validációval.

Elfogadási kritérium: Invalid inputnál inline hiba.",Auth,P0,feature
019. Auth — Forgot Password oldal,UI,"Email input + visszajelzés.

Elfogadási kritérium: Küldés után egyértelmű állapot.",Auth,P1,feature
020. Auth — Sidebar user panel,UI,"User info + sign out gomb.

Elfogadási kritérium: Név/email látszik és sign out működik.",Auth,P1,feature
021. Auth — Teljes flow teszt,Integrációs teszt,"Sign up → sign out → sign in → forgot password → redirect.

Elfogadási kritérium: Regisztráció → bejelentkezve → kijelentkezés → újra bejelentkezés → védett oldal elérhető → kijelentkezve redirect /sign-in.",Auth,P0,feature
022. Friends — CRUD,Metódusok,"addFriend, getFriends, removeFriend (friend-service).

Elfogadási kritérium: Minden metódus Firestore-ban konzisztens adatot ír/olvas.",Friends,P0,feature
023. Friends — Manage invites,Metódusok,"getPendingRequests, acceptFriend, rejectFriend.

Elfogadási kritérium: Pending → accept/reject után a friendship státusz helyes.",Friends,P0,feature
024. Friends — Friend list,UI,"FriendCard lista loading/empty/error állapottal.

Elfogadási kritérium: Üres és tele állapot is rendben néz ki.",Friends,P1,feature
025. Friends — Add friend,UI,"NewFriendDialog user kereséssel (MiniSearch).

Elfogadási kritérium: Keresés → kiválasztás → küldés működik.",Friends,P1,feature
026. Friends — Friend actions,UI,"FriendDropdown remove művelet.

Elfogadási kritérium: Törlés után a lista frissül.",Friends,P1,feature
027. Friends — Pending requests,UI,"FriendRequests accept/reject gombokkal.

Elfogadási kritérium: Accept után megjelenik a friend listában.",Friends,P1,feature
028. Friends — Teljes flow teszt,Integrációs teszt,"Add → pending → accept → list → remove.

Elfogadási kritérium: A meghív → B-nél pending megjelenik → accept → A-nál és B-nél friend listában látszik → remove → mindkét oldalon eltűnik; UI azonnal frissül.",Friends,P0,feature
029. Clubs — CRUD,Metódusok,"createClub, getClub, getClubs, updateClub, removeClub.

Elfogadási kritérium: Create/update/delete Firestore-ban helyes; delete csak Leader-nek.",Clubs,P0,feature
030. Clubs — Members,Metódusok,"addMember, removeMember (global, friends, guest).

Elfogadási kritérium: Guest és user is hozzáadható/eltávolítható jogosultság szerint.",Clubs,P0,feature
031. Clubs — Invites,Metódusok,"getIncomingInvites; accept/decline club meghívók.

Elfogadási kritérium: Invite flow végig működik.",Clubs,P0,feature
032. Clubs — Squads CRUD,Metódusok,"createSquad, updateSquad, removeSquad.

Elfogadási kritérium: Squad létrehozás icon/color/members-szel működik.",Clubs,P0,feature
033. Clubs — Squad members,Metódusok,"Squad member add/remove.

Elfogadási kritérium: Tag hozzáadás/eltávolítás frissíti a squad doc-ot.",Clubs,P0,feature
034. Clubs — Jogosultságok,Metódusok,"Role check minden metódusnál (Leader/Captain/Member/Guest).

Elfogadási kritérium: Minden metódus a permission matrix szerint enged vagy tilt — Leader mindent; Captain nem töröl clubot; Member csak tagot adhat; Guest csak olvas.",Clubs,P0,feature
035. Clubs — Club list,UI,"clubs.tsx grid; create gomb.

Elfogadási kritérium: Clubok listázódnak; üres állapot rendben.",Clubs,P1,feature
036. Clubs — Club card,UI,"ClubCard dropdown, members, invites, squads szekciók.

Elfogadási kritérium: Minden szekció betölt és interaktív.",Clubs,P1,feature
037. Clubs — Club dropdown,UI,"Edit/delete actions role alapján.

Elfogadási kritérium: Delete csak Leader-nek látszik.",Clubs,P1,feature
038. Clubs — Member list,UI,"ClubCardMemberList + ClubMemberDropdown.

Elfogadási kritérium: Tagok listázódnak; remove/role change működik.",Clubs,P1,feature
039. Clubs — Invite list,UI,"ClubCardInvitations accept/decline.

Elfogadási kritérium: Pending invite kezelhető.",Clubs,P1,feature
040. Clubs — Squad list,UI,"ClubCardSquadList + SquadDropdown + squad members.

Elfogadási kritérium: Squadok és tagjaik látszanak.",Clubs,P1,feature
041. Clubs — Create/Edit club,UI,"CreateClubDialog, ClubEditor form.

Elfogadási kritérium: Név/leírás szerkeszthető; validáció működik.",Clubs,P1,feature
042. Clubs — Member manager,UI,"MemberManagerDialog user/guest pickerrel.

Elfogadási kritérium: Global/friends/guest forrásból választható.",Clubs,P1,feature
043. Clubs — Squad creator/editor,UI,"SquadCreator, SquadEditor icon+color pickerrel.

Elfogadási kritérium: Squad létrehozás/szerkesztés UI-ból működik.",Clubs,P1,feature
044. Clubs — Club detail tabs,UI,"Members, Invitations, Squads, Matches, Settings.

Elfogadási kritérium: Minden tab betölt és a megfelelő adatot mutatja.",Clubs,P1,feature
045. Clubs — Teljes flow teszt,Integrációs teszt,"Create → add member → create squad → invite → role permissions.

Elfogadási kritérium: Leader létrehoz clubot → meghív tagot → tag accept → Captain hozzáad squadot → Member nem törölheti a clubot → Guest nem szerkeszthet → minden művelet után UI frissül → club delete csak Leader-nek elérhető és működik.",Clubs,P0,feature
046. Match Config — Create,Metódusok,"createMatch Firestore-ba (match-service).

Elfogadási kritérium: Match doc létrejön helyes config-gal.",Match,P0,feature
